real_name,cha01_20130131,cha01_20130228,cha01_20130331,cha01_20130430,cha01_20130531,cha01_20130630,cha01_20130731,cha01_20130831,cha01_20130930,cha01_20131031,cha01_20131130,cha01_20131231,cha01_20140331,cha01_20140430,cha01_20140531,cha01_20140630,cha01_20140731,cha01_20140831,cha01_20140930,cha01_20141031,cha01_20141130,cha01_20141231,cha01_20150131,cha01_20150228,cha01_20150331,cha01_20150430,cha01_20150531,cha01_20150630,cha01_20150731,cha01_20150831,cha01_20150930,cha01_20151031,cha01_20151130,cha01_20151231,cha01_20160131,cha01_20160229,cha01_20160331,cha01_20160430,cha01_20160531,cha01_20160630,cha01_20160731,cha01_20160831,cha01_20160930,cha01_20161031,cha01_20161130,cha01_20161231,cha01_20170131,cha01_20170228,cha01_20170331,cha01_20170430,cha01_20170531,cha01_20170630,cha01_20170731,cha01_20170831,cha01_20170930,cha01_20171031,cha01_20171130,cha01_20171231,cha01_20180131,cha01_20180228,cha01_20180331,cha01_20180430,cha01_20180531,cha01_20180630,cha01_20180731,cha01_20180831,cha01_20180930,cha01_20181031,cha01_20181130,cha01_20181231,cha01_20190131,cha01_20190228,cha01_20190331,cha01_20190430,cha01_20190531,cha01_20190630,cha01_20190731,cha01_20190831,cha01_20190930,cha01_20191031,cha01_20191130,cha01_20191231,cha01_20200131,cha01_20200229,cha01_20200331,cha01_20200430,cha01_20200531,cha01_20200630,cha01_20200731,cha01_20200831,cha01_20200930,cha01_20201031,cha01_20201130,cha01_20201231,cha01_20210131,cha01_20210228,cha01_20210331,cha01_20210430,cha01_20210831,cha01_20210930,cha01_20211031,cha01_20211130,cha01_20211231,cha01_20220131,cha01_20220228,cha01_20220531,cha01_20220630,cha01_20220731,cha01_20220831,cha01_20220930,cha01_20221031,cha01_20221130,cha01_20221231,cha01_20230131,cha01_20230228,cha01_20230331,cha01_20230430,cha01_20230531,cha01_20230630,cha01_20230731,cha01_20230831,cha01_20230930,cha01_20231031,cha01_20231130,ns,pbias,rsq,rmse
1,0.7234,1.606,2.525,0.8392,1.884,1.194,20.71,13.09,2.588,2.995,1.351,1.84,1.706,0.8657,0.7982,3.124,15.02,15.94,2.528,3.726,2.721,2.35,0.8063,0.46,0.5069,1.708,0.5278,0.9395,4.335,2.874,0.736,2.872,3.356,3.923,0.7096,1.148,2.23,3.85,2.054,0.7672,12.95,0.493,4.921,3.292,0.3605,0.3005,0.1981,0.1156,0.05739,0.02987,0.005418,0.01176,5.685,7.645,2.787,3.056,0.3197,0.429,0.9936,0.1986,3.019,3.474,2.071,1.464,9.678,13.77,11.77,2.855,1.614,0.9251,0.2699,0.8169,0.2408,0.6743,0.8471,1.746,9.345,3.96,4.707,6.803,0.5576,0.5642,2.279,1.601,1.239,0.8469,0.5008,3.426,19.19,33.99,5.488,0.3142,1.152,0.3984,0.4104,0.5216,1.602,1.393,13.29,3.015,0.6647,1.466,1.227,0.2185,0.1334,0.04726,3.487,3.627,6.84,1.507,0.3968,2.14,0.9715,0.7079,0.232,0.1505,0.476,4.38,8.099,39.44,8.329,5.242,0.5816,2.664,0.8707500580303387,6.628010695702448,0.8743879259677778,2.136138003989465
2,0.4055,0.6801,2.566,0.9411,2.257,1.179,20.71,12.96,2.636,3.168,1.641,1.774,1.928,1.016,1.04,3.296,15.02,16.07,2.593,3.89,2.926,1.995,0.5106,0.3893,0.4886,2.062,0.6532,0.9611,4.455,3.191,0.6834,3.05,3.62,3.921,0.5098,0.7477,2.291,4.285,2.255,0.7181,13.02,0.5173,4.86,3.527,0.4223,0.3831,0.2414,0.1536,0.09473,0.06708,0.01057,0.01281,5.557,7.898,2.957,3.286,0.3762,0.3347,0.4595,0.1968,3.02,3.718,2.37,1.443,9.339,13.97,11.0,3.03,1.793,1.049,0.2886,0.3988,0.309,0.7538,0.8616,1.929,9.845,3.962,5.033,6.68,0.6185,0.6292,2.24,1.807,1.268,0.9415,0.7051,3.571,19.59,32.89,5.543,0.3693,1.002,0.3918,0.3359,0.5988,1.961,1.525,13.88,2.587,0.8371,1.641,1.265,0.2583,0.1789,0.07046,3.524,3.812,7.082,1.722,0.4066,2.079,0.7774,0.3745,0.238,0.2415,0.5443,4.667,8.484,38.22,8.575,5.405,0.7092,2.853,0.8687947115736918,7.69675033725188,0.871849328050096,2.152235538588588
4,0.3404,0.6052,2.445,0.9365,2.199,0.8422,21.25,13.04,1.824,2.748,1.633,1.495,1.909,0.8401,0.6697,3.32,14.62,15.56,2.416,3.29,2.557,1.944,0.4234,0.3081,0.483,1.645,0.4296,1.311,3.961,2.939,0.3448,2.64,3.282,3.63,0.4546,1.173,2.061,3.879,1.532,0.7685,12.76,0.5343,5.013,2.936,0.3449,0.2812,0.1776,0.09657,0.04397,0.0148,0.003967,0.007198,5.588,7.41,2.592,2.65,0.2917,0.3489,0.2945,0.113,3.114,3.337,1.719,2.085,9.142,15.98,9.45,2.735,1.487,0.7618,0.2128,0.4238,0.2327,0.7639,0.9554,2.007,9.467,3.292,4.424,6.289,0.5638,0.5626,2.137,1.492,0.9845,0.9819,0.4276,3.601,19.57,32.93,4.917,0.2406,1.182,0.3284,0.2373,0.4219,1.592,1.059,13.98,1.826,0.4896,1.486,1.035,0.1886,0.1111,0.04941,3.852,2.885,6.305,1.377,0.3781,2.327,0.5841,0.3081,0.1638,0.1214,0.5525,4.99,9.118,37.56,8.103,4.532,0.3549,2.629,0.8822416208197549,2.5400643187512033,0.8832691862935543,2.0389662535813318
5,0.7009,1.41,2.831,1.207,2.442,1.273,21.41,13.66,2.444,3.122,1.709,1.774,2.272,1.128,1.104,3.695,15.26,16.07,2.65,3.861,2.746,2.387,0.7722,0.4325,0.7609,2.134,0.665,1.311,4.71,3.416,0.61,3.195,3.483,3.83,0.6524,1.786,2.249,4.404,2.198,0.986,13.31,0.7296,5.415,3.326,0.3302,0.343,0.2237,0.1457,0.08011,0.07053,0.006565,0.005936,6.215,8.003,2.819,3.103,0.2784,0.442,0.983,0.2206,3.585,3.794,2.294,1.762,9.89,15.03,11.21,3.007,1.756,0.9125,0.2637,0.9748,0.4541,1.099,1.31,2.298,9.968,4.122,4.823,6.697,0.7172,0.7183,2.471,1.654,1.281,1.339,0.7804,3.942,19.65,33.84,5.324,0.2504,1.477,0.4207,0.4168,0.7423,2.045,1.535,14.14,2.612,0.7148,1.68,1.209,0.2247,0.1535,0.1206,4.231,3.694,7.005,1.572,0.5359,2.612,0.9562,0.67,0.2357,0.277,0.8694,5.175,8.934,39.26,8.438,5.196,0.4621,2.956,0.8664462813398582,12.398665687030256,0.8742311436417053,2.171411435784154
6,0.7333,1.264,2.864,1.493,2.79,1.221,21.79,13.61,2.141,3.122,1.936,1.615,2.499,1.294,1.131,4.033,15.13,15.8,2.732,3.78,2.712,2.322,0.7434,0.4283,0.8092,2.247,0.6786,1.698,4.536,3.6,0.4589,3.312,3.498,3.675,0.6159,1.881,2.219,4.548,2.16,1.187,13.24,0.9093,5.523,3.208,0.3205,0.383,0.2346,0.1646,0.1029,0.138,0.01352,0.01189,6.24,8.057,2.815,2.96,0.2931,0.5847,1.046,0.2462,3.655,3.917,2.291,2.218,9.62,16.21,10.16,3.067,1.714,0.8473,0.2518,1.196,0.5053,1.304,1.564,2.672,10.14,3.905,4.758,6.541,0.802,0.7179,2.392,1.647,1.267,1.501,0.7914,4.169,19.87,33.15,5.055,0.2281,1.614,0.3917,0.4077,0.7923,2.101,1.47,14.54,2.105,0.654,1.78,1.131,0.2216,0.1625,0.13,4.609,3.458,6.841,1.587,0.6318,2.783,0.8662,0.8397,0.2492,0.3461,0.9696,5.627,9.639,37.94,8.457,4.944,0.3821,3.044,0.871070269648844,13.133602331855846,0.8780529591874843,2.133490264351979
7,0.7284,1.575,2.699,0.9936,2.2,1.247,21.24,13.41,2.649,3.125,1.481,1.788,1.97,0.9806,0.9681,3.467,15.26,16.3,2.64,3.897,2.78,2.318,0.7993,0.4616,0.6406,1.979,0.579,1.103,4.633,3.206,0.7062,3.111,3.523,3.891,0.6375,1.343,2.324,4.217,2.176,0.8759,13.19,0.5607,5.282,3.416,0.3048,0.282,0.2173,0.1632,0.1123,0.07588,0.01165,0.0127,6.042,7.903,2.922,3.181,0.2494,0.3848,1.031,0.2455,3.356,3.657,2.214,1.633,9.808,14.54,11.5,2.901,1.667,0.9318,0.2675,0.8579,0.3568,0.872,1.06,2.023,9.924,3.982,4.99,6.739,0.5523,0.6176,2.467,1.713,1.281,1.043,0.66,3.772,19.76,34.17,5.546,0.2328,1.217,0.3786,0.4402,0.6662,1.872,1.488,13.94,2.793,0.6769,1.527,1.227,0.2241,0.1695,0.07722,3.961,3.787,7.014,1.61,0.4008,2.323,0.9797,0.675,0.2603,0.2005,0.6187,4.774,8.65,39.74,8.478,5.393,0.5308,2.763,0.8674387840201311,10.681309019078821,0.8747286166009474,2.1633279821863542
8,0.819,1.532,1.617,1.333,1.652,1.493,18.98,12.35,3.457,3.642,1.628,1.973,1.178,1.259,0.9092,2.336,13.55,15.54,3.401,4.169,3.175,2.797,1.282,0.5489,0.4999,1.349,0.6368,0.6233,3.285,3.032,0.9724,3.174,2.738,3.641,1.657,1.394,1.726,3.114,2.715,1.139,11.52,1.162,3.523,4.073,1.211,0.5669,0.2715,0.162,0.1168,0.1033,0.005603,0.002303,3.469,6.709,3.736,3.85,0.9666,0.6837,1.03,0.2459,1.829,3.362,2.485,1.375,8.248,11.84,12.6,3.79,2.027,1.244,0.5378,0.8937,0.3321,0.5858,0.6996,1.56,7.563,4.781,4.721,7.706,1.329,0.9446,1.721,1.363,1.519,1.105,0.6336,2.513,16.9,35.47,6.034,1.17,1.175,0.666,0.5188,0.4625,1.323,1.56,12.29,4.032,1.619,1.572,1.392,0.4595,0.1856,0.06538,2.131,3.322,6.482,2.013,0.8055,1.806,1.435,0.8633,0.2878,0.2214,0.4564,3.288,7.128,38.29,9.803,5.609,2.207,2.341,0.8715250976665699,6.094017633455386,0.8727973605989243,2.129723761244216
9,0.4132,0.7583,2.988,1.363,3.021,1.175,22.66,13.45,2.865,3.595,1.964,1.672,2.466,1.397,1.374,4.113,16.06,17.09,3.21,4.207,3.213,1.846,0.523,0.416,0.9218,2.656,0.8262,1.191,5.239,4.006,0.7164,3.916,3.955,3.901,0.4833,0.9247,2.41,5.208,2.815,1.056,13.86,0.403,5.709,3.989,0.3691,0.3524,0.2485,0.1761,0.1228,0.08684,0.01253,0.01168,5.539,8.841,3.602,3.678,0.3129,0.3216,0.4834,0.2335,3.393,4.353,2.909,1.769,9.205,16.03,10.59,3.341,1.979,1.137,0.2844,0.456,0.3348,1.173,1.221,2.742,10.95,4.469,5.845,6.973,0.5349,0.873,2.299,2.087,1.469,1.221,1.233,4.286,21.26,34.2,5.929,0.3014,1.255,0.3753,0.3394,0.6161,2.464,1.717,15.61,2.402,1.251,1.88,1.262,0.2536,0.1867,0.09876,3.886,4.525,7.815,2.127,0.3659,2.519,0.7967,0.4097,0.2701,0.2342,0.9107,5.96,9.745,39.5,9.749,5.861,0.8002,3.196,0.8493798133330775,18.916484390055885,0.8686460646649442,2.3059809699654377
10,0.4244,0.7425,2.828,0.912,2.461,0.9942,21.31,12.71,2.581,3.23,1.704,1.662,2.103,1.039,1.094,3.413,15.24,16.37,2.66,3.878,3.007,1.885,0.533,0.4325,0.8006,2.251,0.6224,0.7622,4.636,3.364,0.6243,3.277,3.722,3.853,0.4864,0.8303,2.344,4.448,2.326,0.617,13.26,0.2942,4.811,3.627,0.3834,0.3488,0.2536,0.1839,0.1317,0.08911,0.01382,0.01543,5.015,8.194,3.054,3.353,0.324,0.3175,0.4208,0.2103,2.896,3.855,2.467,1.42,8.854,14.42,10.29,3.002,1.812,1.076,0.2996,0.4357,0.2756,0.5796,0.717,2.116,10.23,3.989,5.338,6.621,0.4137,0.6422,2.17,1.957,1.268,0.86,0.8109,3.601,20.26,32.91,5.578,0.3041,0.7932,0.3748,0.3386,0.6353,2.165,1.526,14.43,2.311,0.917,1.664,1.248,0.2674,0.2081,0.02532,3.104,4.057,7.304,1.85,0.2639,1.899,0.7571,0.3974,0.2664,0.1995,0.4102,5.088,8.84,37.99,8.857,5.319,0.706,2.871,0.8661008259053843,8.650505877818464,0.8703152993551772,2.1742179522869307
11,0.6787,1.296,1.626,1.251,1.286,1.463,15.69,10.84,4.328,3.886,1.449,2.041,1.059,1.125,0.7345,1.878,11.04,15.2,4.144,4.327,3.197,2.909,1.072,0.4634,0.4354,1.286,0.5552,0.462,3.022,2.587,1.013,2.861,2.603,3.891,1.526,1.075,1.887,2.766,2.674,0.7956,10.82,1.177,3.153,4.112,1.207,0.4361,0.2157,0.1483,0.1054,0.07215,0.004021,0.002851,3.331,6.004,3.909,3.914,0.8597,0.5261,0.8501,0.2307,1.666,3.159,2.382,1.027,7.49,9.24,13.44,4.199,2.026,1.201,0.4492,0.763,0.265,0.3465,0.4597,1.169,6.067,5.357,4.178,7.505,1.466,0.7647,1.771,1.357,1.53,0.8245,0.396,2.187,14.41,36.78,6.495,1.271,0.8582,0.5418,0.4103,0.4497,1.218,1.526,10.52,5.015,1.65,1.447,1.362,0.4123,0.1735,0.02777,1.757,3.215,6.119,2.211,0.5497,1.446,1.28,0.6909,0.254,0.1696,0.2641,2.876,6.176,37.16,10.24,6.053,2.609,2.261,0.8532449447027263,0.2325573328194227,0.8533688570826251,2.276201281018446
