real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
1,72.7422,25.7935,23.2756,199,183.15,199,33.1571,82.9059,102.09,143.286,60.4709,102.584,27.6079
2,87.0127,28.8249,13.5962,61.267,168.328,199,8.70369,101.689,33.8567,152.883,57.4581,114.276,149.492
4,117.74,18.1853,54.6734,21.3458,14.5926,74.1514,120.692,103.537,13.8449,163.295,73.2983,182.397,57.8027
5,87.3527,14.8464,175.781,199,127.486,57.2661,13.4619,70.3649,33.6406,131.408,64.913,199,147.386
6,123.545,10.5664,50.8377,199,121.012,166.786,26.2661,64.1014,66.8353,109.899,68.4753,113.877,85.1037
7,94.7085,26.2014,14.8935,199,84.989,199,61.7888,106.813,3.67552,92.8927,56.0033,25.4616,31.4199
8,121.902,38.4604,20.224,156.167,40.5295,62.4105,52.3306,126.877,54.4265,98.9634,56.5715,54.1695,8.47857
9,195.257,39.8203,19.7196,26.5651,43.4631,199,22.9982,114.69,57.5977,121.31,46.0249,158.17,20.0814
10,102.585,35.1334,102.634,71.0144,172.944,199,121.88,67.4721,12.0501,121.92,50.3856,5.00593,46.6648
11,199,37.4647,156.745,121.887,124.862,103.207,56.4983,199,5.48689,120.037,66.2331,21.2833,105.478
13,116.374,25.4679,31.1064,199,142.266,19.815,107.688,188.382,86.8628,127.454,64.3475,138.699,188.848
14,55.8955,33.5082,146.287,199,126.494,191.694,19.5009,71.2469,19.6027,127.797,57.9609,110.449,159.491
15,199,28.5804,127.032,193.847,81.1005,32.5214,9.61321,160.5,74.9419,113.638,72.4999,129.423,21.6597
16,113.894,13.6416,68.6701,199,87.2559,199,20.4105,70.7884,74.9162,121.476,60.5547,61.231,186.589
17,100.71,25.4311,47.8896,199,99.7855,44.0872,27.13,131.338,44.2046,110.119,59.9169,170.688,173.75
18,47.9835,23.891,31.5203,199,97.498,104.098,127.083,36.8597,36.7647,78.9049,44.619,9.61101,199
19,138.598,44.1215,27.8728,45.1287,81.2621,35.9185,57.5819,34.8014,96.542,133.428,53.2658,79.6716,38.3725
21,158.654,49.5595,160.806,199,27.9514,69.8809,3.15248,7.35998,22.3475,131.86,60.2971,143.939,186.24
22,193.199,27.1525,172.981,168.747,68.4157,52.6822,104.896,46.124,6.30327,103.958,55.0632,199,68.7052
23,146.756,45.7829,43.046,54.6844,91.612,199,56.9604,149.995,76.3756,92.8721,49.486,97.2701,68.094
24,199,39.9555,36.5165,199,112.046,19.6451,102.212,106.546,21.8553,96.2684,63.1044,109.957,78.7791
25,103.232,28.7391,80.3253,116.833,65.0187,172.074,14.0475,128.783,20.2798,143.091,67.0279,67.7764,199
26,107.611,32.3008,54.4056,199,30.6154,52.2654,3.04865,166.689,7.85783,100.749,67.9395,18.4727,121.23
27,199,22.2935,85.2743,11.2136,77.045,199,35.5727,178.997,73.1511,104.765,58.226,29.5358,150.207
28,86.9573,2.9551,189.262,104.714,83.1525,199,111.357,174.227,18.82,95.1391,57.6342,75.9437,174.814
29,98.3421,19.605,42.2524,183.795,57.0872,83.9665,38.2469,120.488,62.2447,98.9717,55.0835,88.3303,17.8698
30,71.1609,6.41877,128.905,97.4306,118.918,76.9988,11.9709,47.2284,53.5617,134.812,59.9681,86.0394,88.403
31,92.825,10.4732,160.665,102.348,156.895,199,134.374,199,8.01593,118.175,61.5451,25.0317,5.23944
32,94.7916,19.8762,12.2521,87.4786,18.6147,38.6192,125.226,199,9.63191,101.407,67.0127,42.6748,153.147
33,83.2102,19.4241,18.5751,42.5465,77.0492,199,64.6804,199,5.32507,155.005,60.5174,11.2651,53.3806
34,134.922,11.9143,122.107,199,98.8334,199,30.2436,72.366,4.46749,29.9185,49.2575,199,30.6736
35,78.7213,13.8281,172.606,199,138.633,199,143.564,45.2156,11.1587,131.552,68.1727,4.33574,33.4739
36,154.595,25.724,159.823,199,66.3335,199,102.901,53.9861,11.544,127.781,62.4637,45.1682,173.887
37,158.709,34.4398,44.0904,87.8045,116.824,199,105.474,157.518,71.7263,122.085,62.0349,46.5451,199
38,199,1.90992,93.5519,88.1503,92.7517,108.993,55.7507,199,91.1047,152.183,73.5713,96.2395,191.633
39,103.553,15.637,173.913,80.1898,108.454,139.737,117.892,45.6881,18.7193,82.2668,58.6193,66.4988,132.014
40,115.223,17.1769,67.2022,26.7033,118.456,199,111.166,199,64.1973,84.9986,50.7801,170.62,31.5227
41,186.737,7.72799,192.967,199,101.309,199,119.021,46.0763,31.9688,108.542,66.1357,41.4693,44.5323
42,194.367,62.1525,185.438,142.43,73.1474,148.24,136.75,139.14,77.3091,97.2319,47.8691,146.647,18.1751
43,121.031,31.8222,25.4771,180.045,69.0341,199,3.64679,199,17.0468,98.505,68.6349,41.106,37.1285
44,199,38.1349,60.1607,177.91,79.1072,199,11.2187,69.0391,42.2068,110.613,51.9792,199,79.939
