output,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
phi,0.0541258,-0.00172919,-0.029693,0.00272562,0.181176,0.00763238,-0.00081026,-0.00227139,0.0292331,0.13929,-0.00193577,0.000594256,2.78496e-06
cha01_20170531,0.0141552,4.97499e-05,-4.69229e-05,0.00300846,0.0109684,-0.00211155,0.000248835,0.0259542,0.0368569,0.0345764,0.638325,0.00645642,4.30522e-06
cha01_20230228,0.0594747,0.054455,0.00143946,-0.00290081,0.0181889,-0.00146666,-0.00141995,0.0323978,0.0490808,0.231844,0.16352,0.00435802,-4.15618e-06
cha01_20130131,0.117466,0.0117845,0.00100581,0.00916781,0.00481089,-0.00215963,0.000209331,0.0182842,0.0331876,0.146994,0.0106844,3.42983e-05,-3.59926e-06
cha01_20130228,0.0903012,0.00674377,0.00105035,0.0502405,0.0754763,-0.00136624,0.000401337,0.0659207,0.164609,0.0692896,0.0438418,0.000257674,-1.01487e-05
cha01_20170731,-0.0111453,0.0202851,0.00576944,0.0215868,0.0895459,-0.00658721,0.00127282,0.00741614,0.0147691,-0.0177428,0.512945,0.000596252,-8.49846e-06
cha01_20130331,0.00905075,0.0151858,0.00584932,0.0160373,0.0989639,-0.00768963,0.00158123,0.0398515,0.104712,-0.00256476,0.327863,0.00279057,2.47423e-05
cha01_20170131,0.0445974,0.0291097,0.00231887,-0.00174804,0.00889024,-0.000675633,0.000825138,0.00239488,0.00320681,0.232811,0.0743668,0.00433713,5.43071e-06
cha01_20160831,0.0526448,0.0148913,0.000353454,0.000812596,0.00551079,-0.00216592,-0.000715657,0.00304867,-0.01781,0.177171,0.514968,0.000701955,1.53619e-06
cha01_20130531,0.00597815,0.0146287,0.00448523,0.00705124,0.0980035,-0.00768721,-0.000336746,0.0185027,0.0464304,0.00272267,0.582835,0.00226817,-4.16959e-06
cha01_20171231,0.0432358,0.040852,0.000738593,0.00260874,0.000346512,-0.00617474,-0.00189236,0.0244771,0.0279608,0.157198,0.15659,0.000828436,-5.3657e-06
cha01_20160930,-0.00629515,0.0285705,0.0106026,0.00462807,0.125159,-0.00472737,-0.0006854,0.0112747,0.0745579,0.00439342,0.598898,0.000999369,2.72403e-06
cha01_20130430,0.0307485,0.0150588,0.00348288,0.00247507,0.0435327,-0.00580256,-0.00138203,0.0179184,0.00980516,0.0261208,0.551932,0.00410393,1.53166e-05
cha01_20170331,0.0214476,0.0466496,0.00145442,-0.00340493,0.0031621,-0.00538796,-0.000694164,0.0161579,0.0381145,0.109599,0.272085,0.00694088,3.80706e-06
cha01_20130731,-0.0600237,0.0321527,0.0452176,0.00258472,0.33115,-0.0149694,0.00131693,0.00219406,0.062578,0.00619281,0.242357,0.000792285,-1.35212e-05
cha01_20130630,0.00760285,0.00536936,0.00648847,-0.00123493,0.0183,-0.00457467,-0.00129132,0.00623536,-0.0147694,0.04854,0.72169,0.00191996,-1.08784e-07
cha01_20160531,0.006611,0.00863012,0.00629242,-0.00271485,0.0800234,-0.00311041,-0.00280267,0.0100027,-0.00384392,0.00747771,0.668895,0.00169711,-1.29402e-06
cha01_20140630,0.00651233,0.0180007,0.00603978,0.00414703,0.110729,-0.0100372,3.18428e-05,0.0187948,0.0504222,0.00566735,0.576745,0.00264265,8.55429e-06
cha01_20130831,-0.0388081,0.0231789,0.0195552,-0.00722487,0.332114,-0.0117805,0.000776493,0.0170753,0.0311141,-0.0337107,0.270636,0.000944247,3.75141e-05
cha01_20160430,-0.0101735,0.0215559,0.00698352,0.00621512,0.132009,-0.00710004,0.000814271,0.025203,0.0716509,-0.00488735,0.464892,0.000762486,1.98411e-05
cha01_20130930,0.0150101,-0.000703194,0.00328214,-0.000294801,0.0107948,-0.00338922,-0.000984903,0.00177563,-0.0276405,0.0921577,0.631196,0.000393275,8.32295e-06
cha01_20131031,0.0579318,0.0157298,0.0107122,-0.00383426,0.0322368,-0.00829852,-0.00174799,0.00458333,-0.0118935,0.144217,0.549047,0.00225398,2.42988e-05
cha01_20131130,0.0630988,0.0254054,0.00196461,0.000649362,0.00337609,-0.00755941,-0.00223632,0.00887916,0.00145186,0.217036,0.232764,-0.00136777,2.70116e-05
cha01_20131231,0.0224792,-0.00185108,0.00195968,0.00181596,-0.00221194,-0.0104868,0.000398419,0.00437091,-0.0225869,0.329444,0.175945,0.00251732,2.10166e-05
cha01_20141130,0.0582214,0.0161268,0.00282993,-0.00270308,0.0706363,-0.0104983,-0.00293678,0.00913697,-0.0354434,0.20675,0.257941,-0.000989046,-4.24907e-06
cha01_20140331,0.0153851,0.0176385,0.000560567,0.0178628,0.0680014,-0.0084076,-0.000399674,0.042569,0.0891422,-0.00554177,0.372393,0.00265579,1.31671e-05
cha01_20140430,0.0434479,0.00952341,0.0042011,0.00148759,0.0361501,-0.00418378,-1.81521e-05,0.0216377,0.0101435,0.0181766,0.606509,0.00601846,3.91739e-05
cha01_20180131,0.0382897,0.0324736,0.00202854,0.0959012,0.0249619,-0.00961297,-0.00315583,0.073864,0.134325,0.0406117,0.167993,0.00312048,5.33947e-06
cha01_20161130,0.0720054,0.0240246,0.000531946,0.0133887,0.0256199,-0.00308636,-0.00188155,0.00243763,0.000326454,0.353487,0.0670298,0.00132511,8.56994e-06
cha01_20161031,0.00600778,0.00808024,0.00574523,0.00018474,0.0340256,-0.00777588,-0.000743308,0.00464968,-0.0364589,0.0543344,0.568697,0.00410618,-5.53557e-05
cha01_20140531,0.0151543,0.00334609,0.00547679,0.000400854,0.0243902,-0.00406294,-0.00168205,0.0093843,0.0159012,0.0314535,0.73848,0.00363198,-8.35985e-06
cha01_20170228,0.0686883,0.0363903,0.00153229,-0.000547916,0.0115652,-0.00411749,0.00155727,0.0122286,0.0410355,0.200656,0.107112,0.00610588,-8.38042e-06
cha01_20161231,0.0273083,0.0283568,0.00010135,0.00231708,0.00972766,-0.00271273,-0.000658491,0.00184317,-0.00390672,0.280163,0.0709784,0.00554923,-5.21479e-06
