date,gwl11453,gwl14099,gwl19054,gwl23110,gwl23553,gwl26989,gwl27309
2000-01-01,311.75,66.33,667.75,46.5,59.77,123.398,16.835
2000-01-02,311.75,66.33,667.75,46.5,60.008,123.323,17.069
2000-01-03,311.751,66.33,667.75,46.5,60.22,123.271,17.307
2000-01-04,311.751,66.33,667.75,46.5,60.408,123.237,17.528
2000-01-05,311.751,66.33,667.75,46.5,60.576,123.217,17.728
2000-01-06,311.751,66.33,667.75,46.5,60.727,123.207,17.91
2000-01-07,311.752,66.33,667.75,46.5,60.861,123.206,18.076
2000-01-08,311.752,66.33,667.75,46.5,60.982,123.21,18.23
2000-01-09,311.753,66.33,667.75,46.5,61.092,123.218,18.373
2000-01-10,311.754,66.33,667.75,46.5,61.19,123.228,18.507
2000-01-11,311.755,66.33,667.75,46.5,61.28,123.24,18.633
2000-01-12,311.757,66.33,667.75,46.5,61.361,123.252,18.753
2000-01-13,311.76,66.33,667.75,46.5,61.435,123.262,18.866
2000-01-14,311.762,66.33,667.75,46.5,61.503,123.265,18.973
2000-01-15,311.766,66.33,667.75,46.5,61.566,123.262,19.075
2000-01-16,311.771,66.33,667.75,46.5,61.623,123.252,19.163
2000-01-17,311.776,66.33,667.75,46.5,61.676,123.236,19.242
2000-01-18,311.782,66.33,667.75,46.5,61.726,123.214,19.313
2000-01-19,311.789,66.33,667.75,46.5,61.772,123.186,19.379
2000-01-20,311.796,66.33,667.75,46.5,61.815,123.152,19.44
2000-01-21,311.805,66.33,667.75,46.5,61.855,123.113,19.496
2000-01-22,311.813,66.33,667.75,46.5,61.893,123.07,19.546
2000-01-23,311.823,66.33,667.75,46.5,61.93,123.022,19.591
2000-01-24,311.833,66.33,667.75,46.5,61.964,122.969,19.632
2000-01-25,311.844,66.33,667.75,46.5,61.997,122.913,19.669
2000-01-26,311.855,66.33,667.75,46.5,62.029,122.854,19.698
2000-01-27,311.867,66.33,667.75,46.5,62.059,122.791,19.696
2000-01-28,311.879,66.33,667.75,46.5,62.088,122.726,19.705
2000-01-29,311.892,66.33,667.75,46.5,62.117,122.658,19.708
2000-01-30,311.905,66.33,667.75,46.5,62.145,122.587,19.712
2000-01-31,311.918,66.33,667.75,46.5,62.172,122.515,19.716
2000-02-01,311.932,66.33,667.75,46.5,62.199,122.44,19.719
2000-02-02,311.946,66.33,667.75,46.5,62.225,122.363,19.722
2000-02-03,311.96,66.33,667.75,46.5,62.25,122.284,19.725
2000-02-04,311.975,66.33,667.75,46.5,62.276,122.203,19.727
2000-02-05,311.989,66.33,667.75,46.5,62.301,122.12,19.729
2000-02-06,312.004,66.33,667.75,46.5,62.326,122.036,19.731
2000-02-07,312.019,66.33,667.75,46.5,62.351,121.951,19.733
2000-02-08,312.035,66.33,667.75,46.5,62.375,121.864,19.735
2000-02-09,312.05,66.33,667.75,46.5,62.399,121.776,19.736
2000-02-10,312.066,66.33,667.75,46.5,62.424,121.687,19.738
2000-02-11,312.082,66.33,667.75,46.5,62.448,121.597,19.739
2000-02-12,312.097,66.33,667.75,46.5,62.472,121.506,19.74
2000-02-13,312.113,66.33,667.75,46.5,62.496,121.415,19.741
2000-02-14,312.129,66.33,667.75,46.5,62.519,121.324,19.742
