 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
    365    12    31  2001      1       0  rtu0010                0.078       1.000       0.123       0.258      19.443       0.013       0.000       0.025       0.000       0.954       0.000       0.000
    365    12    31  2001      2       0  rtu0020                0.009       0.238       0.028       0.056      98.678       0.032       0.000       0.005       0.000       0.929       0.000       0.000
    365    12    31  2001      3       0  rtu0030                0.001       0.016       0.002       3.840      12.066       0.402       0.000       0.001       0.000       2.854       0.000       0.000
    365    12    31  2001      4       0  rtu0040                0.000       0.000       0.000       1.901       6.345       0.165       0.000       0.000       0.000       1.775       0.000       0.000
    365    12    31  2001      5       0  rtu0050                0.000       0.000       0.000       2.516       6.191       0.194       0.000       0.000       0.000       0.956       0.000       0.000
    365    12    31  2001      6       0  rtu0060                0.000       0.000       0.000       2.330       5.089       0.198       0.000       0.000       0.000       1.212       0.000       0.000
    365    12    31  2001      7       0  rtu0070                0.004       0.043       0.005       0.005       1.980       0.006       0.000       0.001       0.000       0.135       0.000       0.000
    365    12    31  2001      8       0  rtu0080                0.279       5.904       0.724       0.622      13.144       0.055       0.000       0.092       0.000       1.224       0.000       0.000
    365    12    31  2001      9       0  rtu0090                0.000       0.000       0.000       0.001       8.668       0.002       0.000       0.000       0.000       0.139       0.000       0.000
    365    12    31  2001     10       0  rtu0100                0.004       0.083       0.010       1.209      30.869       0.114       0.000       0.001       0.000       0.974       0.000       0.000
    365    12    31  2001     11       0  rtu0110                0.002       0.010       0.001       4.780      24.779       0.580       0.000       0.000       0.000       1.826       0.000       0.000
    365    12    31  2001     12       0  rtu0120                0.000       0.000       0.000      38.534       0.000       0.230       0.000       0.000       0.000       0.043       0.000       0.000
    365    12    31  2001     13       0  rtu0130                0.001       0.013       0.002       2.631       0.004       0.415       0.000       0.000       0.000       1.192       0.000       0.000
    365    12    31  2001     14       0  rtu0140                0.082       0.600       0.073       0.822      36.982       0.102       0.000       0.021       0.000       3.336       0.000       0.000
    365    12    31  2001     15       0  rtu0150                0.067       1.016       0.127       2.322       0.930       0.165       0.000       0.023       0.000       0.644       0.000       0.000
    365    12    31  2001     16       0  rtu0160                0.000       0.000       0.000       0.002      95.843       0.005       0.000       0.000       0.000       0.490       0.000       0.000
    365    12    31  2001     17       0  rtu0170                0.005       0.058       0.007       0.075       0.050       0.021       0.000       0.002       0.000       0.242       0.000       0.000
    365    12    31  2001     18       0  rtu0180                0.418       4.869       0.597       0.487       0.014       0.034       0.000       0.110       0.000       0.204       0.000       0.000
    365    12    31  2001     19       0  rtu0190                0.058       0.410       0.050       0.117      18.352       0.007       0.000       0.010       0.000       1.149       0.000       0.000
    365    12    31  2001     20       0  rtu0200                0.067       1.383       0.171       0.625       0.678       0.020       0.000       0.023       0.000       0.375       0.000       0.000
    365    12    31  2001     21       0  rtu0210                0.007       0.048       0.006       0.107      26.181       0.020       0.000       0.002       0.000       2.593       0.000       0.000
    365    12    31  2001     22       0  rtu0220                0.002       0.029       0.005       0.265       5.692       0.016       0.000       0.001       0.000       0.419       0.000       0.000
