real_name,cha01_20130131,cha01_20130228,cha01_20130331,cha01_20130430,cha01_20130531,cha01_20130630,cha01_20130731,cha01_20130831,cha01_20130930,cha01_20131031,cha01_20131130,cha01_20131231,cha01_20140331,cha01_20140430,cha01_20140531,cha01_20140630,cha01_20140731,cha01_20140831,cha01_20140930,cha01_20141031,cha01_20141130,cha01_20141231,cha01_20150131,cha01_20150228,cha01_20150331,cha01_20150430,cha01_20150531,cha01_20150630,cha01_20150731,cha01_20150831,cha01_20150930,cha01_20151031,cha01_20151130,cha01_20151231,cha01_20160131,cha01_20160229,cha01_20160331,cha01_20160430,cha01_20160531,cha01_20160630,cha01_20160731,cha01_20160831,cha01_20160930,cha01_20161031,cha01_20161130,cha01_20161231,cha01_20170131,cha01_20170228,cha01_20170331,cha01_20170430,cha01_20170531,cha01_20170630,cha01_20170731,cha01_20170831,cha01_20170930,cha01_20171031,cha01_20171130,cha01_20171231,cha01_20180131,cha01_20180228,cha01_20180331,cha01_20180430,cha01_20180531,cha01_20180630,cha01_20180731,cha01_20180831,cha01_20180930,cha01_20181031,cha01_20181130,cha01_20181231,cha01_20190131,cha01_20190228,cha01_20190331,cha01_20190430,cha01_20190531,cha01_20190630,cha01_20190731,cha01_20190831,cha01_20190930,cha01_20191031,cha01_20191130,cha01_20191231,cha01_20200131,cha01_20200229,cha01_20200331,cha01_20200430,cha01_20200531,cha01_20200630,cha01_20200731,cha01_20200831,cha01_20200930,cha01_20201031,cha01_20201130,cha01_20201231,cha01_20210131,cha01_20210228,cha01_20210331,cha01_20210430,cha01_20210831,cha01_20210930,cha01_20211031,cha01_20211130,cha01_20211231,cha01_20220131,cha01_20220228,cha01_20220531,cha01_20220630,cha01_20220731,cha01_20220831,cha01_20220930,cha01_20221031,cha01_20221130,cha01_20221231,cha01_20230131,cha01_20230228,cha01_20230331,cha01_20230430,cha01_20230531,cha01_20230630,cha01_20230731,cha01_20230831,cha01_20230930,cha01_20231031,cha01_20231130
0,0.7896,1.249,1.148,0.8888,0.7803,0.6507,11.72,9.165,1.932,2.511,1.557,1.624,0.9175,0.7936,0.3493,1.092,8.927,14.64,1.791,3.002,2.297,2.278,1.229,0.9673,0.794,0.9292,0.2438,0.372,1.281,1.13,0.3235,1.705,1.975,2.804,1.33,1.183,1.412,1.764,1.244,0.6096,8.663,0.4811,1.439,2.586,1.22,0.955,0.6548,0.5045,0.3032,0.1462,0.007516,0.002234,1.327,2.782,1.248,2.605,1.094,0.8707,0.936,0.4726,0.9522,1.422,1.058,0.632,4.338,8.372,10.6,2.606,1.644,1.319,0.8607,0.9533,0.5221,0.4203,0.3005,0.593,3.568,2.336,3.221,6.535,1.229,1.066,1.283,1.173,1.091,0.7602,0.2986,1.151,13.65,33.88,4.688,0.8974,1.005,0.8216,0.6921,0.5917,0.6456,0.7004,10.38,3.18,1.169,1.386,1.223,0.7512,0.5271,0.02721,0.9242,1.005,3.301,0.9991,0.6198,1.175,1.04,0.773,0.5272,0.335,0.3112,0.8965,3.882,36.33,6.598,4.056,1.686,1.809
1,0.688,1.615,1.474,0.8093,0.9517,0.7866,17.82,10.67,2.301,2.01,0.596,1.682,0.7429,0.6212,0.1738,1.658,11.91,14.32,2.942,2.305,2.417,2.632,0.7787,0.4734,0.3612,0.5039,0.1806,0.4561,2.545,1.425,0.4494,1.803,1.751,3.882,1.007,0.9657,1.611,1.998,1.578,0.4054,11,0.3175,3.174,2.762,0.4182,0.2384,0.1773,0.1088,0.04897,0.01685,0.00272,0.005121,3.478,5.359,2.372,2.15,0.2503,0.4331,0.9805,0.1767,1.402,2.443,1.219,0.9904,8.337,9.386,12.84,2.314,0.941,0.7222,0.2736,0.8314,0.1818,0.303,0.3803,0.774,5.621,4.075,2.739,7.294,0.4,0.3204,1.34,0.7902,1.276,0.3516,0.125,1.837,14.4,35.62,5.127,0.2223,0.6868,0.3832,0.327,0.2376,0.6398,0.8157,8.981,4.629,0.2764,0.7053,1.027,0.2168,0.1174,0.009201,1.799,2.174,5.236,1.007,0.2097,1.254,0.9235,0.7201,0.2063,0.1007,0.1455,2.761,5.727,34.91,10.31,3.811,0.6465,1.441
2,0.2316,0.5844,1.968,0.4406,1.145,1.06,18.98,11.73,2.685,2.394,0.7772,1.671,0.9012,0.6569,0.4651,1.994,14.54,15.48,1.969,3.091,2.358,2.061,0.3159,0.266,0.2203,0.8614,0.447,0.455,2.542,1.866,0.76,2.049,2.968,3.945,0.3315,0.5252,1.619,2.905,1.814,0.3416,12.03,0.1787,2.878,2.911,0.2341,0.1625,0.09368,0.03726,0.01554,0.008826,0.011,0.01934,3.323,6.542,2.552,2.608,0.1752,0.1452,0.1586,0.06634,1.542,2.95,1.811,0.7086,8.415,9.981,13,2.456,1.188,0.7001,0.1142,0.1656,0.0754,0.2032,0.3948,0.8305,7.201,3.74,4.052,6.745,0.2459,0.2765,1.256,1.225,1.098,0.3034,0.2949,1.948,18.14,34.42,4.879,0.1046,0.3373,0.2011,0.1268,0.2262,0.5415,0.8036,11.39,3.714,0.3136,1.079,1.061,0.1136,0.05546,0.02324,1.672,2.472,6.266,1.13,0.1313,0.9002,0.4483,0.2604,0.1367,0.05549,0.1638,2.58,6.603,39.63,7.602,4.72,0.3191,1.904
4,0.181,0.4821,1.888,0.3696,1.507,0.5202,20.15,12.11,1.04,1.509,0.9635,1.167,1.221,0.4334,0.2672,2.399,13.46,14.21,1.336,2.329,1.934,1.536,0.26,0.2186,0.2167,0.6511,0.1759,0.9171,2.551,1.779,0.2333,1.592,2.463,3.327,0.2894,0.7185,1.631,2.555,0.6507,0.4424,12.01,0.1847,4.311,2.037,0.1955,0.1291,0.07531,0.02519,0.004112,0.002661,0.006496,0.01161,4.456,6.236,1.802,1.677,0.1282,0.1151,0.1045,0.04142,2.096,2.327,0.81,1.838,8.861,15.27,8.714,1.972,0.8246,0.3515,0.08535,0.08352,0.0331,0.3412,0.4764,1.087,8.127,2.184,3.538,5.646,0.1995,0.2194,1.449,0.7911,0.4637,0.4846,0.09147,2.523,18.44,31.7,3.705,0.07182,0.6295,0.1414,0.06856,0.08668,0.6379,0.4579,12.27,1.383,0.1589,0.7829,0.6181,0.07499,0.02103,0.008039,2.724,1.771,4.905,0.7444,0.1275,1.656,0.2737,0.1349,0.06183,0.0174,0.1947,4.217,8.377,35.88,6.35,3.066,0.09713,1.82
5,0.5298,1.373,1.915,0.7207,1.177,1.085,18.98,11.38,2.187,1.898,0.6237,1.822,1.22,0.7216,0.4204,2.126,13.28,14.3,2.411,2.477,2.266,2.458,0.579,0.3084,0.31,0.9186,0.2519,0.5547,3.321,1.667,0.5411,1.917,2.22,3.931,0.6124,0.8855,1.868,2.542,1.378,0.4469,12.24,0.231,3.652,2.699,0.2266,0.1417,0.0831,0.02801,0.008645,0.007153,0.004149,0.00632,4.45,5.963,2.052,2.04,0.1234,0.2687,0.6751,0.1,2.23,2.771,1.319,1.05,9.408,10.41,13.2,2.189,1.065,0.5105,0.1121,0.5275,0.08673,0.4941,0.5539,1.088,6.936,3.936,2.818,7.056,0.2819,0.3659,1.746,0.7295,1.011,0.6139,0.2115,2.511,15.87,35.67,4.278,0.046,0.7104,0.3657,0.179,0.2374,0.8718,1.024,9.768,4.299,0.2569,0.9314,0.8726,0.08045,0.02453,0.01819,2.351,2.507,5.521,0.7081,0.1883,1.767,0.8128,0.5009,0.1015,0.04006,0.3233,3.424,6.399,37.65,8.643,3.241,0.304,1.877
6,0.5526,1.176,2.529,0.9797,2.328,0.9314,21.33,13.16,1.582,2.427,1.544,1.408,2.012,0.9252,0.7823,3.474,14.56,15.27,2.071,3.094,2.349,2.068,0.5874,0.2991,0.536,1.55,0.4365,1.448,3.791,2.874,0.344,2.562,3.147,3.575,0.5006,1.496,2.03,3.783,1.441,0.9052,12.9,0.5919,5.082,2.677,0.2401,0.1945,0.1011,0.03977,0.01287,0.01483,0.01208,0.01845,5.66,7.482,2.311,2.26,0.1714,0.3432,0.7501,0.1247,3.174,3.301,1.65,2.157,9.436,16.09,9.578,2.606,1.343,0.6053,0.1205,0.7225,0.2055,0.9257,1.141,2.116,9.492,3.196,4.141,6.179,0.4888,0.483,2.039,1.288,0.8921,1.087,0.4301,3.661,19.51,32.7,4.542,0.1101,1.228,0.2486,0.183,0.4688,1.491,1.048,13.78,1.809,0.3846,1.395,0.9243,0.08817,0.02544,0.06247,3.992,2.758,6.075,1.22,0.3679,2.425,0.6694,0.4713,0.123,0.1178,0.6387,5.16,9.375,37.47,7.576,4.116,0.1829,2.588
7,1.317,2.401,1.985,1.488,1.921,1.508,17.84,11.34,3.331,3.202,1.948,1.945,1.583,1.409,1.009,2.663,12.28,15.31,2.996,4.151,2.97,2.656,1.763,1.399,1.219,1.622,0.7513,0.9214,2.562,2.79,1.006,3.144,2.674,3.157,1.794,2.003,2.021,3.19,2.235,1.503,11.12,1.232,3.521,3.141,1.371,1.215,0.9147,0.8073,0.582,0.4098,0.01967,0.002891,2.561,5.142,2.642,3.311,1.244,1.444,1.897,0.7128,1.569,2.564,1.925,1.533,7.211,10.88,11.24,3.587,2.102,1.653,1.113,2.05,0.9554,1.088,0.84,1.424,6.691,3.774,4.844,7.456,1.529,1.389,2.045,1.61,1.529,1.397,0.8716,2.264,16.39,34.78,5.959,1.34,1.714,1.262,1.118,0.9907,1.473,1.402,12.07,3.768,2.01,1.896,1.742,1.122,0.8835,0.1298,1.929,2.267,4.907,1.714,1.176,2.149,1.591,1.539,0.9194,0.7108,0.7645,3.089,6.016,36.51,8.959,5.597,2.073,2.397
8,0.2558,0.6095,2.239,0.4344,1.716,0.8249,20.62,12.56,2.02,2.584,1.133,1.484,1.306,0.5883,0.5054,2.632,14.86,15.94,2.053,3.187,2.57,1.717,0.3353,0.2892,0.2263,1.257,0.4357,0.5069,3.457,2.499,0.472,2.283,3.275,3.75,0.3396,0.5306,1.814,3.506,1.548,0.3274,12.72,0.1559,3.878,3.018,0.2462,0.1846,0.1068,0.05671,0.02709,0.009749,0.007239,0.02071,3.756,7.331,2.571,2.77,0.1922,0.1557,0.1676,0.06775,2.19,3.22,1.736,1.194,8.857,13.8,10.33,2.551,1.289,0.736,0.1336,0.2095,0.1027,0.127,0.3593,1.154,9.345,3.173,4.598,6.373,0.2261,0.2401,1.609,1.544,0.9195,0.371,0.222,2.859,19.84,33.25,5.055,0.1341,0.3699,0.1867,0.1374,0.1806,0.9483,1.046,13.47,2.174,0.3694,1.197,1.048,0.1304,0.0741,0.01729,2.076,3.038,6.564,1.349,0.1466,1.26,0.5315,0.2706,0.1533,0.08121,0.07608,3.901,8.319,38.72,7.958,4.723,0.2872,2.172
9,0.7634,1.217,1.559,1.432,1.738,1.786,12.25,7.801,3.154,3.463,1.92,1.861,1.345,1.442,1.297,2.325,6.509,9.855,2.501,3.749,2.737,2.353,1.221,0.8985,0.8655,1.635,0.9939,1.113,2.993,2.776,1.592,3.163,2.665,2.934,1.496,1.332,1.647,2.806,2.377,1.66,7.305,1.565,2.778,3.507,1.497,0.9979,0.6887,0.5172,0.3956,0.3498,0.02308,0.01279,2.439,4.11,2.873,3.684,1.317,0.9148,0.9979,0.4882,1.652,2.728,2.274,1.5,4.219,5.873,5.322,3.51,2.123,1.487,0.8335,0.968,0.6608,0.9419,0.9349,1.844,4.623,3.562,4.397,5.163,1.521,1.275,1.739,1.45,1.5,1.359,1.109,2.519,10.91,20.89,4.091,1.736,1.443,1.016,0.7436,0.6974,1.364,1.569,9.091,3.168,2.554,1.809,1.49,0.7719,0.5308,0.2063,1.92,2.885,4.35,1.967,1.521,1.919,1.432,0.9489,0.6036,0.5062,0.8533,2.501,4.311,13.13,5.264,3.896,2.576,2.377
10,0.268,0.6155,3.261,1.23,3.157,1.16,22.97,13.48,2.92,3.558,1.814,1.562,2.491,1.376,1.5,4.238,16.41,17.34,3.192,4.207,3.198,1.752,0.3264,0.1969,0.8887,2.673,0.9352,0.9897,5.474,4.095,0.7533,3.976,4.031,3.936,0.2864,0.8056,2.412,5.447,2.853,1.011,14.15,0.2488,5.831,3.994,0.2075,0.1095,0.06408,0.0329,0.02106,0.02306,0.01234,0.01983,3.627,9.184,3.723,3.714,0.1442,0.1056,0.1716,0.06387,3.63,4.732,3.017,1.508,9.249,15.73,10.65,3.251,1.944,0.9696,0.1191,0.1567,0.1809,1.23,1.26,2.823,11.38,4.577,6.013,6.925,0.2853,0.7174,2.283,2.008,1.393,1.155,1.292,4.383,21.7,34.17,6.002,0.1817,1.069,0.2285,0.1247,0.4468,2.566,1.779,15.83,2.439,1.211,1.74,1.194,0.1061,0.05663,0.08183,3.327,4.796,8.068,2.182,0.2351,2.518,0.6461,0.294,0.1404,0.07917,0.8591,6.408,9.967,39.81,9.823,5.942,0.6822,3.163
