real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
0,199,40.3912,8.89506,82.935,87.8437,199,78.3827,195.531,75.1777,112.984,51.0588,144.288,105.101
1,51.2851,38.5463,23.128,199,183.829,199,42.2909,78.4432,141.463,187.65,57.925,84.283,28.7679
2,70.0604,47.1079,14.8498,57.4178,191.951,199,10.4405,102.554,47.7697,182.411,53.8787,95.4779,160.148
4,111.253,23.9642,56.9147,18.6818,16.6083,54.5464,146.549,99.7477,18.4086,187.777,73.9496,171.067,53.8918
5,61.1934,20.4934,175.025,199,122.715,46.4226,16.3751,70.8613,41.8296,175.623,62.4194,199,155.284
6,91.9958,13.359,57.541,199,169.085,123.547,31.6427,60.6408,90.8628,154.926,69.8146,111.732,101.662
7,58.8526,30.4479,16.2821,199,107.063,199,80.1372,90.153,4.84286,101.797,52.0444,20.0657,33.4736
8,83.85,48.7155,20.4796,120.574,30.2115,40.3056,65.7669,117.04,91.0578,125.913,50.2142,37.9076,9.35019
9,157.285,62.4462,20.5509,23.255,50.1433,199,28.7287,143.662,80.9459,163.653,37.5201,136.966,22.0284
10,90.382,73.1904,97.602,58.5179,185.613,199,161.61,71.0776,16.9837,159.251,47.4611,4.38231,44.1925
11,146.655,62.9148,156.433,124.804,72.1422,87.6262,67.7849,195.235,6.92838,97.8131,52.9234,12.3154,110.23
12,90.7512,9.72067,95.755,115.433,70.3218,100.599,34.0024,7.91473,55.814,199,133.096,176.461,43.6439
13,96.4784,37.8097,32.5837,199,182.906,13.9379,137.069,192.228,125.574,172.916,62.4001,136.025,199
14,32.2993,66.4635,155.158,193.938,118.344,156.413,24.2837,67.5871,26.9849,169.045,53.692,87.9196,199
15,177.047,45.3816,174.479,199,112.135,26.4452,9.92039,152.074,125,129.836,60.9998,100.567,26.6626
16,116.369,20.4502,107.691,199,150.517,199,20.6435,44.5531,130.788,93.5369,51.4089,39.0477,199
17,77.3529,33.6738,47.6147,199,120.087,32.3652,37.9225,124.458,61.9392,159.021,61.0167,149.541,182.281
18,43.9483,40.1653,34.416,188.046,92.8118,77.9707,132.773,31.2492,46.9289,54.3576,33.6176,6.35993,199
19,112.719,73.2813,28.4843,41.0794,89.9429,26.079,70.7343,34.5482,123.846,170.077,51.13,75.7029,39.3419
20,44.845,40.8583,73.955,199,195.64,199,32.259,43.9867,101.495,174.763,47.7221,190.779,186.827
21,131.737,84.9298,155.284,199,27.7165,48.8179,3.72923,8.46063,29.4201,168.733,56.8828,131.898,191.276
22,167.397,56.2141,176.967,133.135,60.7562,42.0909,122.437,43.1107,9.33221,89.3552,43.1853,161.798,64.4142
23,108.891,95.6344,41.9628,33.2615,93.9807,157.113,74.277,164.219,96.0439,109.193,42.2398,87.2352,65.1483
24,168.774,90.5914,33.9464,199,92.1385,15.9264,120.737,118.832,24.8483,89.1578,55.3454,94.8447,70.3688
25,140.674,50.5607,158.793,93.1873,175.765,122.147,11.2064,84.3234,47.8948,124.204,51.6431,42.0654,194.758
26,70.8552,62.8368,55.5213,199,24.2701,40.6719,3.83133,179.632,11.1895,127.333,58.6036,14.3029,143.647
27,129.113,36.2502,95.3081,10.4281,70.3102,199,40.6918,171.3,116.646,134.083,48.5785,21.0677,199
28,60.3103,2.70927,199,73.0169,94.8471,199,154.394,199,27.5326,151.122,54.1495,70.8387,197.832
29,84.3148,27.4889,44.4239,124.679,69.2291,62.1968,50.1374,141.578,85.5873,150.388,53.7793,87.6172,18.4146
30,58.6351,8.15205,122.191,79.0271,83.2005,53.1118,13.3879,43.9275,87.6449,135.136,48.69,58.216,84.2678
31,70.5682,10.4773,174.62,67.6146,185.719,199,148.422,199,8.51315,111.377,59.475,22.9385,5.33419
