real_name,cha01_20130131,cha01_20130228,cha01_20130331,cha01_20130430,cha01_20130531,cha01_20130630,cha01_20130731,cha01_20130831,cha01_20130930,cha01_20131031,cha01_20131130,cha01_20131231,cha01_20140331,cha01_20140430,cha01_20140531,cha01_20140630,cha01_20140731,cha01_20140831,cha01_20140930,cha01_20141031,cha01_20141130,cha01_20141231,cha01_20150131,cha01_20150228,cha01_20150331,cha01_20150430,cha01_20150531,cha01_20150630,cha01_20150731,cha01_20150831,cha01_20150930,cha01_20151031,cha01_20151130,cha01_20151231,cha01_20160131,cha01_20160229,cha01_20160331,cha01_20160430,cha01_20160531,cha01_20160630,cha01_20160731,cha01_20160831,cha01_20160930,cha01_20161031,cha01_20161130,cha01_20161231,cha01_20170131,cha01_20170228,cha01_20170331,cha01_20170430,cha01_20170531,cha01_20170630,cha01_20170731,cha01_20170831,cha01_20170930,cha01_20171031,cha01_20171130,cha01_20171231,cha01_20180131,cha01_20180228,cha01_20180331,cha01_20180430,cha01_20180531,cha01_20180630,cha01_20180731,cha01_20180831,cha01_20180930,cha01_20181031,cha01_20181130,cha01_20181231,cha01_20190131,cha01_20190228,cha01_20190331,cha01_20190430,cha01_20190531,cha01_20190630,cha01_20190731,cha01_20190831,cha01_20190930,cha01_20191031,cha01_20191130,cha01_20191231,cha01_20200131,cha01_20200229,cha01_20200331,cha01_20200430,cha01_20200531,cha01_20200630,cha01_20200731,cha01_20200831,cha01_20200930,cha01_20201031,cha01_20201130,cha01_20201231,cha01_20210131,cha01_20210228,cha01_20210331,cha01_20210430,cha01_20210831,cha01_20210930,cha01_20211031,cha01_20211130,cha01_20211231,cha01_20220131,cha01_20220228,cha01_20220531,cha01_20220630,cha01_20220731,cha01_20220831,cha01_20220930,cha01_20221031,cha01_20221130,cha01_20221231,cha01_20230131,cha01_20230228,cha01_20230331,cha01_20230430,cha01_20230531,cha01_20230630,cha01_20230731,cha01_20230831,cha01_20230930,cha01_20231031,cha01_20231130
0,1.5,2.3,2.7,1.6,2.2,2.6,22.1,14.4,3.7,2.8,1.9,1.8,0.3,0.6,0.9,4,8.7,16.4,5,2.1,0.9,0.9,0.6,0.5,0.5,0.9,0.5,1.9,2.3,1.6,1,1.6,0.4,0.5,0.4,0.4,0.8,0.6,1,2,8.8,1.5,2.9,2.7,0.5,0.4,0.871012,1.31835,1.00334,0.226242,2.11663,2.65816,7.72887,7.01077,6.11407,1.16007,-1.20754,0.11037,1.8006,0.990371,0.209173,1.58075,1.62289,8.9062,8.21884,15.833,9.69996,1.24185,3.34936,0.110069,-1.18141,0.620895,0.395532,0.105855,0.636252,5.55828,8.24478,3.62438,5.66386,7.32407,1.34297,1.24322,0.928403,-0.988671,-0.271652,0.169689,0.0528418,4.65376,25.435,44.4275,8.89971,1.10157,0.113796,0.315939,1.2503,-0.455626,0.237062,0.47284,8.43403,2.82858,0.94936,-0.975815,0.708302,1.26692,0.789621,0.982187,4.03205,0.590969,3.87112,1.56596,1.75305,1.62305,1.69572,2.69564,1.83229,-0.518029,0.551465,3.46691,6.01005,28.0259,7.24071,5.14354,0.768108,0.798288
1,1.5,2.3,2.7,1.6,2.2,2.6,22.1,14.4,3.7,2.8,1.9,1.8,0.3,0.6,0.9,4,8.7,16.4,5,2.1,0.9,0.9,0.6,0.5,0.5,0.9,0.5,1.9,2.3,1.6,1,1.6,0.4,0.5,0.4,0.4,0.8,0.6,1,2,8.8,1.5,2.9,2.7,0.5,0.4,2.50555,-0.652647,-0.0548697,0.560182,1.47909,1.71383,8.14988,7.16661,3.39046,-0.0710881,0.800293,0.514968,1.49574,0.203299,1.90395,3.56243,0.814261,6.51016,8.06543,15.6849,9.29453,3.78621,0.413662,1.43194,0.393935,1.4335,-0.380185,0.806209,2.66206,5.05032,8.01887,2.71578,6.02712,6.88236,2.1399,0.089593,-1.45072,0.0981627,0.319832,1.51075,0.438518,2.94394,28.8691,41.9021,6.57673,-0.178539,0.899043,0.297286,0.862454,0.692185,0.735612,0.128782,9.49175,3.57136,-0.846816,0.732412,-1.4577,0.0780086,-0.17437,1.10719,6.28848,0.659405,4.6143,-0.431004,0.927315,2.22104,2.28616,1.981,1.64566,0.797078,-0.0241828,3.10876,7.67179,28.2735,8.74283,5.73694,2.31754,1.59992
2,1.5,2.3,2.7,1.6,2.2,2.6,22.1,14.4,3.7,2.8,1.9,1.8,0.3,0.6,0.9,4,8.7,16.4,5,2.1,0.9,0.9,0.6,0.5,0.5,0.9,0.5,1.9,2.3,1.6,1,1.6,0.4,0.5,0.4,0.4,0.8,0.6,1,2,8.8,1.5,2.9,2.7,0.5,0.4,0.887606,1.6346,0.549645,0.081901,-1.75183,0.970657,5.91141,7.50843,4.82648,0.655361,0.295587,-0.201013,-0.358668,-1.2111,3.73484,1.68006,1.40681,6.21639,7.64423,15.0181,10.3789,3.13161,2.592,1.39202,0.431813,1.13178,1.50049,2.42186,1.56574,2.37607,7.55488,1.31991,5.1665,6.77681,2.45924,0.918009,0.0676102,0.696367,0.0118736,1.06953,1.03833,5.18183,28.2416,41.9682,8.65247,0.759887,-0.752738,1.65279,1.18601,-0.326991,1.41528,0.647095,9.7787,2.45126,-0.129299,2.94432,0.373953,-0.228414,1.02671,-0.793758,6.65402,3.41028,1.40288,0.728804,1.03087,1.00792,-0.607605,0.66627,-0.408882,0.332622,0.407576,4.82145,8.4705,29.4495,7.33385,3.63815,1.4943,3.70609
3,1.5,2.3,2.7,1.6,2.2,2.6,22.1,14.4,3.7,2.8,1.9,1.8,0.3,0.6,0.9,4,8.7,16.4,5,2.1,0.9,0.9,0.6,0.5,0.5,0.9,0.5,1.9,2.3,1.6,1,1.6,0.4,0.5,0.4,0.4,0.8,0.6,1,2,8.8,1.5,2.9,2.7,0.5,0.4,0.721835,0.554846,1.24331,0.895836,-2.40564,3.12431,7.56375,8.43197,3.97059,2.08216,0.856916,-0.935745,0.306156,-1.13097,2.11748,2.40835,-0.52349,8.25733,6.79594,16.5168,11.486,2.60036,1.69278,0.989617,2.39888,2.22355,2.89135,0.448349,2.65963,3.89038,7.49362,4.01124,5.82044,6.79783,1.18064,-0.506052,0.817278,-0.0126768,1.31274,1.54638,0.0312061,3.59429,28.4284,42.5135,7.94876,1.45638,0.873932,-1.38913,1.33507,-0.221301,-1.9019,-2.05199,8.41478,0.300369,1.79526,0.396425,-0.404603,-0.292724,2.31164,-1.08259,4.29672,3.26589,4.99659,-0.825863,0.324666,2.98229,-1.81547,1.30445,0.320057,0.926046,0.0624656,4.61495,6.6814,25.5609,9.00219,5.65492,1.57697,2.40132
4,1.5,2.3,2.7,1.6,2.2,2.6,22.1,14.4,3.7,2.8,1.9,1.8,0.3,0.6,0.9,4,8.7,16.4,5,2.1,0.9,0.9,0.6,0.5,0.5,0.9,0.5,1.9,2.3,1.6,1,1.6,0.4,0.5,0.4,0.4,0.8,0.6,1,2,8.8,1.5,2.9,2.7,0.5,0.4,-0.341967,0.541542,1.30933,1.56409,0.974387,2.2222,8.79833,8.38975,4.17505,1.91799,0.184735,1.31852,0.422818,-1.53579,2.36451,3.19446,3.99028,6.6374,8.4027,16.3566,11.1643,3.2146,2.05383,-1.48,1.81117,-0.351016,0.637458,-0.647954,0.588909,3.01557,6.68765,1.51425,3.97353,5.96839,2.1058,0.531938,0.903089,0.0597737,1.33382,0.468793,2.03866,4.23215,27.5569,41.3659,6.31613,0.560938,1.04899,-1.5419,0.280111,1.72196,2.7419,-0.25171,7.95752,-0.194061,0.576006,0.877706,0.273493,0.708571,0.0117691,1.73604,5.02159,0.171565,2.18866,2.00558,1.14105,-0.555926,0.778245,-0.667381,-0.0611975,-1.31456,0.881164,5.3057,6.94875,29.1033,8.51681,5.07234,-0.204015,1.94213
5,1.5,2.3,2.7,1.6,2.2,2.6,22.1,14.4,3.7,2.8,1.9,1.8,0.3,0.6,0.9,4,8.7,16.4,5,2.1,0.9,0.9,0.6,0.5,0.5,0.9,0.5,1.9,2.3,1.6,1,1.6,0.4,0.5,0.4,0.4,0.8,0.6,1,2,8.8,1.5,2.9,2.7,0.5,0.4,0.818977,1.03233,1.46884,-0.746573,-0.367211,0.998646,8.49346,8.51508,4.54159,-0.185916,-0.26664,1.42866,0.835833,-0.15253,0.732526,1.45474,1.01335,7.28897,9.03582,18.8321,8.23678,2.46532,0.887248,0.732051,-2.48349,0.775013,-0.122325,1.80671,3.11069,3.33175,9.67149,3.818,5.05285,5.98182,0.943863,0.254553,1.18301,1.5945,2.68353,2.54454,-0.214014,3.71358,26.3772,41.2156,6.35536,0.932303,-0.275944,1.22974,0.0763637,-0.307683,0.530794,-0.0943072,8.5235,2.96426,1.66412,0.982334,1.59518,-0.935879,-0.511196,0.254434,5.61335,3.36666,2.5524,0.158212,0.884586,1.8251,2.38531,3.29088,0.422034,2.18654,0.133534,4.17234,8.39897,28.1154,9.18307,7.10197,1.02984,2.04626
6,1.5,2.3,2.7,1.6,2.2,2.6,22.1,14.4,3.7,2.8,1.9,1.8,0.3,0.6,0.9,4,8.7,16.4,5,2.1,0.9,0.9,0.6,0.5,0.5,0.9,0.5,1.9,2.3,1.6,1,1.6,0.4,0.5,0.4,0.4,0.8,0.6,1,2,8.8,1.5,2.9,2.7,0.5,0.4,0.576714,-1.80289,1.84111,1.67551,1.10108,2.82373,6.80026,8.33304,2.42791,1.76539,0.664416,1.34257,-0.150249,-0.404692,1.95498,1.37114,3.53253,7.24849,8.3726,16.6325,8.35436,5.25094,1.51254,0.119697,0.658971,0.269814,-0.086324,-0.136461,2.80948,3.65719,6.31578,5.03425,5.79282,7.8266,2.80952,-0.553508,2.32084,0.834543,1.09435,0.866767,-0.823435,4.54548,26.7605,41.9941,6.50931,0.928069,0.613213,1.84072,1.13418,1.21115,-0.137879,2.22022,9.65096,1.78108,1.38106,1.00348,1.28112,1.24529,-2.06597,0.606472,6.81722,1.27549,1.80728,1.13926,0.755871,1.64322,1.21623,-0.899082,1.98482,0.476757,-0.382338,3.16165,7.97373,28.6048,9.10377,3.57525,1.22245,1.34848
7,1.5,2.3,2.7,1.6,2.2,2.6,22.1,14.4,3.7,2.8,1.9,1.8,0.3,0.6,0.9,4,8.7,16.4,5,2.1,0.9,0.9,0.6,0.5,0.5,0.9,0.5,1.9,2.3,1.6,1,1.6,0.4,0.5,0.4,0.4,0.8,0.6,1,2,8.8,1.5,2.9,2.7,0.5,0.4,1.13438,1.6839,-1.44647,0.437519,-1.0685,1.45865,7.12733,7.31264,6.81979,2.47488,0.97431,-0.948599,0.742864,1.1002,1.34359,3.00326,1.89153,5.99904,7.86923,15.4017,9.91742,3.42134,2.76235,-0.724082,1.07198,0.59097,1.09002,0.0778799,0.141412,2.62372,5.1517,2.41189,6.03255,6.00493,1.77713,0.840846,-0.458641,0.880607,0.995057,-0.276917,-0.687515,3.382,29.0667,43.521,7.45811,0.949546,1.40716,0.156308,0.216895,0.0760501,1.60208,0.465328,8.5309,1.19748,0.871338,1.11082,0.321769,-1.3228,-0.0189086,0.558753,6.13479,0.491059,1.70483,0.905503,-1.58657,0.604714,0.340217,0.621912,1.31059,-2.50972,1.67283,3.30368,8.94888,26.832,7.9905,3.36828,1.83465,2.80072
8,1.5,2.3,2.7,1.6,2.2,2.6,22.1,14.4,3.7,2.8,1.9,1.8,0.3,0.6,0.9,4,8.7,16.4,5,2.1,0.9,0.9,0.6,0.5,0.5,0.9,0.5,1.9,2.3,1.6,1,1.6,0.4,0.5,0.4,0.4,0.8,0.6,1,2,8.8,1.5,2.9,2.7,0.5,0.4,1.94848,2.09553,1.00147,-0.803329,-0.557489,1.56663,6.62418,7.4898,5.75489,0.264663,0.593762,1.02905,2.49857,-1.38365,1.15068,1.49373,0.209012,7.78684,8.38062,16.7169,9.31693,3.24553,0.0674811,1.00828,0.605425,1.26721,0.667842,1.61646,2.45353,2.0063,7.47764,3.53768,5.91276,8.57828,1.93169,-0.475021,2.52815,0.610668,2.05552,-0.619617,0.427709,2.87266,29.8049,43.1165,7.14201,0.422387,1.45918,0.377104,0.8715,0.830266,0.1314,-1.56728,9.57323,3.4451,0.929464,-0.0598401,0.482677,2.48713,1.53878,2.28355,4.73366,0.0471416,2.82726,1.40608,0.966249,-0.736974,0.0446421,1.43857,1.5919,0.588331,1.19189,2.60688,8.06499,25.4868,6.47638,5.45409,2.40043,1.75114
9,1.5,2.3,2.7,1.6,2.2,2.6,22.1,14.4,3.7,2.8,1.9,1.8,0.3,0.6,0.9,4,8.7,16.4,5,2.1,0.9,0.9,0.6,0.5,0.5,0.9,0.5,1.9,2.3,1.6,1,1.6,0.4,0.5,0.4,0.4,0.8,0.6,1,2,8.8,1.5,2.9,2.7,0.5,0.4,-0.217345,0.502085,-0.270603,-0.719516,-1.11213,0.3494,8.37808,8.13216,3.60018,0.783325,-0.0922427,0.349346,-1.07643,-0.911366,-0.603247,1.57117,2.8956,6.72257,7.84876,18.4667,8.66955,3.21284,0.685887,-0.456408,-1.12936,-0.227491,0.00953959,0.0472701,1.31605,3.76825,9.39047,2.64294,4.84458,8.05897,-0.0273294,1.66013,2.33248,1.11046,1.40085,1.6969,2.07131,4.53855,26.9405,41.7707,7.21954,1.04419,2.04222,2.01136,1.12074,-0.18707,0.0090644,0.38793,10.1188,2.74453,0.356546,-0.744209,1.57278,-1.04695,-0.174761,-0.393062,6.21594,1.85971,3.93862,-0.423507,-0.109645,0.642549,1.06566,-0.845385,2.21091,0.405652,1.77323,3.33341,6.99434,28.2524,8.35059,5.50402,1.10544,2.3161
