iteration,total_runs,obs_realization,par_realization,val,cal
0,196,0,0,0,1279.27
0,196,1,1,0,1267.56
0,196,2,2,0,910.584
0,196,4,4,0,504.846
0,196,5,5,0,575.076
0,196,6,6,0,442.867
0,196,7,7,0,542.855
0,196,8,8,0,814.897
0,196,9,9,0,438.6
0,196,10,10,0,588.855
0,196,11,11,0,1239.61
0,196,12,12,0,404.798
0,196,13,13,0,619.222
0,196,14,14,0,1211.98
0,196,15,15,0,492.56
0,196,16,16,0,1364.85
0,196,17,17,0,1444.23
0,196,18,18,0,519.298
0,196,19,19,0,486.794
0,196,20,20,0,716.513
0,196,21,21,0,520.684
0,196,22,22,0,2198.34
0,196,23,23,0,719.672
0,196,24,24,0,1710.25
0,196,25,25,0,789.582
0,196,26,26,0,652.72
0,196,27,27,0,467.897
0,196,28,28,0,2280.17
0,196,29,29,0,541.689
0,196,30,30,0,808.35
0,196,31,31,0,432.672
0,196,32,32,0,554.307
0,196,33,33,0,553.144
0,196,34,34,0,440.141
0,196,35,35,0,1350.88
0,196,36,36,0,807.277
0,196,37,37,0,805.409
0,196,38,38,0,2042.6
0,196,39,39,0,2211.96
0,196,40,40,0,495.468
0,196,41,41,0,698.463
0,196,42,42,0,792.127
0,196,43,43,0,2633.74
0,196,44,44,0,2533.74
0,196,45,45,0,1163.96
0,196,46,46,0,511.54
0,196,47,47,0,590.579
0,196,48,48,0,505.735
0,196,49,49,0,553.091
0,196,50,50,0,572.111
0,196,51,51,0,396.186
0,196,52,52,0,782.744
0,196,53,53,0,733.284
0,196,54,54,0,1137.84
0,196,55,55,0,675.594
0,196,56,56,0,1569.8
0,196,57,57,0,451.012
0,196,58,58,0,529.772
0,196,59,59,0,487.702
0,196,60,60,0,973.472
0,196,61,61,0,2538.04
0,196,62,62,0,442.462
0,196,63,63,0,2052.73
0,196,64,64,0,758.427
0,196,65,65,0,921.799
0,196,66,66,0,904.137
0,196,67,67,0,572.425
0,196,68,68,0,485.405
0,196,69,69,0,2332.96
0,196,70,70,0,468.63
0,196,71,71,0,877.437
0,196,72,72,0,472.161
0,196,73,73,0,965.77
0,196,74,74,0,981.882
0,196,75,75,0,961.869
0,196,76,76,0,485.909
0,196,77,77,0,578.248
0,196,78,78,0,957.484
0,196,80,80,0,1342.67
0,196,81,81,0,451.007
0,196,82,82,0,447.17
0,196,83,83,0,1066.26
0,196,84,84,0,1060.7
0,196,85,85,0,679.662
0,196,86,86,0,460.945
0,196,87,87,0,688.607
0,196,88,88,0,583.068
0,196,89,89,0,961.101
0,196,90,90,0,536.492
0,196,91,91,0,2171.31
0,196,92,92,0,1333.93
0,196,93,93,0,709.479
0,196,94,94,0,552.753
0,196,95,95,0,455.91
0,196,96,96,0,676.427
0,196,97,97,0,457.26
0,196,98,98,0,1688.05
0,196,99,99,0,480.493
0,196,100,100,0,587.956
0,196,101,101,0,439.04
0,196,102,102,0,697.944
0,196,103,103,0,432.345
0,196,104,104,0,831.586
0,196,105,105,0,1365.76
0,196,106,106,0,1037.16
0,196,107,107,0,482.683
0,196,108,108,0,1528.8
0,196,109,109,0,787.988
0,196,110,110,0,811.098
0,196,111,111,0,612.59
0,196,112,112,0,446.561
0,196,113,113,0,1904.22
0,196,114,114,0,570.483
0,196,115,115,0,412.194
0,196,116,116,0,511.196
0,196,117,117,0,716.847
0,196,118,118,0,2985.08
0,196,119,119,0,1880.32
0,196,120,120,0,420.186
0,196,121,121,0,696.925
0,196,122,122,0,651.646
0,196,123,123,0,599.178
0,196,124,124,0,1659.58
0,196,125,125,0,440.469
0,196,126,126,0,466.393
0,196,127,127,0,1531.05
0,196,128,128,0,530.793
0,196,129,129,0,613.507
0,196,130,130,0,1093.33
0,196,131,131,0,431.034
0,196,132,132,0,836.283
0,196,133,133,0,605.177
0,196,135,135,0,945.758
0,196,136,136,0,1091.11
0,196,137,137,0,687.81
0,196,138,138,0,2085.17
0,196,139,139,0,723.294
0,196,140,140,0,802.537
0,196,141,141,0,831.289
0,196,142,142,0,488.602
0,196,143,143,0,752.687
0,196,144,144,0,609.953
0,196,145,145,0,647.256
0,196,146,146,0,778.126
0,196,147,147,0,735.277
0,196,148,148,0,1485.48
0,196,149,149,0,683.979
0,196,150,150,0,1267.58
0,196,151,151,0,525.471
0,196,152,152,0,1328.7
0,196,153,153,0,560.052
0,196,154,154,0,810.683
