output,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
phi,0.234932,0.0123318,0.0854951,0.0338772,0.550969,0.00557631,0.0013367,0.0267556,0.0522119,0.389932,0.315099,6.87421e-05,2.62129e-08
cha01_20170531,0.156589,0.0305538,0.000703459,0.00965094,0.0249959,0.00135325,0.00148848,0.0519978,0.0913194,0.178087,0.727483,0.0110772,5.80237e-07
cha01_20230228,0.479263,0.0880875,0.000561017,0.00785494,0.0268767,0.00839211,0.0027575,0.0392634,0.0829061,0.590995,0.257248,0.00232948,9.55549e-08
cha01_20130131,0.919563,0.0265789,9.74135e-05,0.0201667,0.0268775,0.0011596,0.000326984,0.0243297,0.0537009,0.769227,0.0616478,0.000793051,2.57793e-08
cha01_20130228,0.41901,0.0370209,0.000208632,0.0840623,0.146425,0.00396379,0.00109347,0.0954379,0.245507,0.389805,0.157018,0.000271677,2.87693e-08
cha01_20170731,0.125045,0.029262,0.00157696,0.0248308,0.14616,0.00711542,0.00195698,0.0333566,0.066796,0.16193,0.650739,5.74165e-05,1.38664e-08
cha01_20130331,0.109126,0.0325294,0.000939125,0.0232,0.157369,0.0079444,0.00402211,0.0867526,0.204693,0.184223,0.487224,0.000159417,3.25095e-08
cha01_20170131,0.635506,0.0590843,0.00025892,0.0123556,0.027165,0.00585387,0.00138741,0.0300913,0.0548081,0.741571,0.162254,0.00224572,9.28439e-09
cha01_20160831,0.209285,0.0267053,0.000329511,0.00377644,0.0430284,0.00445448,0.000716694,0.0104261,0.0231761,0.360948,0.579751,0.000398931,1.84385e-08
cha01_20130531,0.0296641,0.0237872,0.000239905,0.0118944,0.173022,0.00929549,0.00367205,0.0359113,0.0912763,0.0714903,0.714851,0.00020289,3.834e-08
cha01_20171231,0.559161,0.0644431,0.000121486,0.0133695,0.0367505,0.008859,0.00277176,0.0412677,0.0848249,0.588044,0.253171,0.000609204,4.27845e-08
cha01_20160930,0.0280661,0.0285943,0.00232727,0.0149373,0.163268,0.0152578,0.00198594,0.031193,0.0777694,0.0543344,0.736163,0.0001397,2.20442e-08
cha01_20130430,0.0503007,0.0468596,0.000344268,0.0078071,0.105152,0.0137546,0.00634508,0.0297585,0.0675287,0.129761,0.713124,0.000480184,5.53229e-08
